InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
565849,23013,GLASS APOTHECARY BOTTLE TONIC,12,07/09/2011 12:50,3.45,14309
565849,23171,REGENCY TEA PLATE GREEN ,12,07/09/2011 12:50,1.65,14309
565846,22994,TRAVEL CARD WALLET RETROSPOT,2,07/09/2011 12:41,0.42,14606
565846,22997,TRAVEL CARD WALLET UNION JACK,2,07/09/2011 12:41,0.42,14606
565846,82582,AREA PATROLLED METAL SIGN,2,07/09/2011 12:41,2.1,14606
565844,84836,ZINC METAL HEART DECORATION,12,07/09/2011 12:19,1.25,17442
565836,23426,METAL SIGN DROP YOUR PANTS,48,07/09/2011 11:41,2.49,17511
565836,23208,LUNCH BAG VINTAGE LEAF DESIGN,100,07/09/2011 11:41,1.45,17511
565835,22093,MOTORING TISSUE BOX,2,07/09/2011 11:32,0.39,14452
565835,85099F,JUMBO BAG STRAWBERRY,3,07/09/2011 11:32,2.08,14452
565835,23394,POSTE FRANCE CUSHION COVER,1,07/09/2011 11:32,3.75,14452
565808,23110,PARISIENNE KEY CABINET ,4,07/09/2011 10:56,5.75,16843
565806,15056BL,EDWARDIAN PARASOL BLACK,3,07/09/2011 10:51,5.95,15594
565806,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,07/09/2011 10:51,1.25,15594
565805,22662,LUNCH BAG DOLLY GIRL DESIGN,20,07/09/2011 10:51,1.65,18229
565803,21561,DINOSAUR LUNCH BOX WITH CUTLERY,6,07/09/2011 10:38,2.55,17735
565803,22384,LUNCH BAG PINK POLKADOT,10,07/09/2011 10:38,1.65,17735
565803,22629,SPACEBOY LUNCH BOX ,12,07/09/2011 10:38,1.95,17735
565801,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,16,07/09/2011 10:28,4.15,12685
565800,22796,PHOTO FRAME 3 CLASSIC HANGING,4,07/09/2011 10:23,9.95,14911
565800,21494,ROTATING LEAVES T-LIGHT HOLDER,12,07/09/2011 10:23,1.25,14911
