InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
552108,22487,WHITE WOOD GARDEN PLANT LADDER,1,06/05/2011 11:36,9.95,17841
546430,22317,FIVE CATS HANGING DECORATION,2,13/03/2011 15:55,2.95,15918
551250,21199,PINK  HEART CONFETTI IN TUBE,1,27/04/2011 12:00,1.65,17841
548312,84584,PINK GINGHAM CAT WITH SCARF,3,30/03/2011 12:12,2.55,16059
547374,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,22/03/2011 13:54,1.25,16110
558749,48111,DOORMAT 3 SMILEY CATS,2,03/07/2011 10:28,7.95,16326
565204,84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,16,01/09/2011 16:45,0.42,15829
561642,23550,WRAP ALPHABET POSTER  ,25,28/07/2011 15:04,0.42,17965
546435,47599A,PINK PARTY BAGS,6,14/03/2011 09:37,2.1,15671
551014,22193,RED DINER WALL CLOCK,2,26/04/2011 11:04,8.5,13209
562965,20725,LUNCH BAG RED RETROSPOT,30,11/08/2011 10:45,1.65,18226
564855,22949,36 DOILIES DOLLY GIRL,12,31/08/2011 09:10,1.45,16746
543166,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,04/02/2011 08:27,1.25,13488
555552,23091,ZINC HERB GARDEN CONTAINER,1,05/06/2011 13:44,6.25,13610
562688,21500,PINK POLKADOT WRAP ,25,08/08/2011 13:53,0.42,13869
561219,21883,STARS GIFT TAPE ,24,26/07/2011 08:51,0.65,18180
552530,22776,SWEETHEART CAKESTAND 3 TIER,2,10/05/2011 08:58,9.95,13055
547102,21986,PACK OF 12 PINK POLKADOT TISSUES,24,21/03/2011 10:41,0.29,14245
542107,21912,VINTAGE SNAKES & LADDERS,1,25/01/2011 13:38,3.75,16222
549539,22241,GARLAND WOODEN HAPPY EASTER,24,10/04/2011 10:10,1.25,15465
558115,21713,CITRONELLA CANDLE FLOWERPOT,8,27/06/2011 08:50,2.1,16003
549302,84879,ASSORTED COLOUR BIRD ORNAMENT,16,08/04/2011 08:25,1.69,14246
557472,21208,PASTEL COLOUR HONEYCOMB FAN,12,20/06/2011 13:27,0.39,12432
545870,85150,LADIES & GENTLEMEN METAL SIGN,6,07/03/2011 14:45,2.55,17162
557881,20992,JAZZ HEARTS PURSE NOTEBOOK,144,23/06/2011 13:22,0.39,14401
550778,22993,SET OF 4 PANTRY JELLY MOULDS,12,20/04/2011 13:36,1.25,14868
556779,22089,PAPER BUNTING VINTAGE PAISLEY,2,14/06/2011 12:45,2.95,16774
549324,71459,HANGING JAM JAR T-LIGHT HOLDER,12,08/04/2011 10:32,0.85,16045
546366,84457,SET/3 RABBITS FLOWER SKIPPPING ROPE,1,11/03/2011 11:37,0.85,12748
556829,23173,REGENCY TEAPOT ROSES ,2,15/06/2011 10:51,9.95,12809
559358,16045,POPART WOODEN PENCILS ASST,100,07/07/2011 19:14,0.04,15675
562200,21528,DAIRY MAID TRADITIONAL TEAPOT ,2,03/08/2011 12:21,6.95,17719
565611,23318,BOX OF 6 MINI VINTAGE CRACKERS,12,05/09/2011 14:57,2.49,14849
565329,21041,RED RETROSPOT OVEN GLOVE DOUBLE,1,02/09/2011 13:54,2.95,14606
554104,85049H,URBAN BLACK RIBBONS ,12,22/05/2011 14:03,1.25,12705
546367,84879,ASSORTED COLOUR BIRD ORNAMENT,160,11/03/2011 11:38,1.45,15513
559331,23286,BLUE VINTAGE SPOT BEAKER,8,07/07/2011 15:45,0.85,16156
556882,82582,AREA PATROLLED METAL SIGN,6,15/06/2011 12:21,2.1,14395
541518,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,19/01/2011 09:05,0.85,12451
560385,21975,PACK OF 60 DINOSAUR CAKE CASES,2,18/07/2011 12:53,0.55,14583
544893,22072,RED RETROSPOT TEA CUP AND SAUCER ,4,24/02/2011 12:01,3.75,17865
549313,22138,BAKING SET 9 PIECE RETROSPOT ,3,08/04/2011 09:45,4.95,12393
557427,22730,ALARM CLOCK BAKELIKE IVORY,20,20/06/2011 12:14,3.75,12429
562275,23346,SPACEBOY BEAKER,12,04/08/2011 10:04,1.25,12689
550912,22966,GINGERBREAD MAN COOKIE CUTTER,12,21/04/2011 13:17,1.25,13267
558259,23174,REGENCY SUGAR BOWL GREEN,4,28/06/2011 08:19,4.15,15304
558756,22980,PANTRY SCRUBBING BRUSH,1,03/07/2011 12:21,1.65,12843
551524,21931,JUMBO STORAGE BAG SUKI,10,01/05/2011 12:35,2.08,16401
563924,23013,GLASS APOTHECARY BOTTLE TONIC,2,21/08/2011 14:32,3.95,15984
562558,22382,LUNCH BAG SPACEBOY DESIGN ,1,05/08/2011 16:43,1.65,13451
545555,22680,FRENCH BLUE METAL DOOR SIGN 5,1,03/03/2011 15:17,1.25,17757
547548,22505,MEMO BOARD COTTAGE DESIGN,1,23/03/2011 15:37,4.95,15644
547358,21242,RED RETROSPOT PLATE ,2,22/03/2011 12:25,1.69,15998
