InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
567505,22423,REGENCY CAKESTAND 3 TIER,2,20/09/2011 14:34,12.75,12352
563854,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,19/08/2011 15:24,1.25,12364
573401,21988,PACK OF 6 SKULL PAPER PLATES,12,30/10/2011 15:43,0.85,12364
574336,23511,EMBROIDERED RIBBON REEL EMILY ,6,04/11/2011 09:52,2.08,12397
552543,23298,SPOTTY BUNTING,9,10/05/2011 10:22,4.95,12399
563172,23282,FOLDING BUTTERFLY MIRROR IVORY ,12,12/08/2011 13:15,0.83,12399
547684,85099F,JUMBO BAG STRAWBERRY,10,24/03/2011 14:46,1.95,12408
561102,22820,GIFT BAG BIRTHDAY,24,25/07/2011 11:17,0.65,12412
565145,23445,ICE CREAM BUBBLES,200,01/09/2011 13:50,0.72,12415
545227,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,01/03/2011 09:35,1.65,12428
544817,22556,PLASTERS IN TIN CIRCUS PARADE ,12,23/02/2011 16:44,1.65,12437
557621,22770,MIRROR CORNICE,2,21/06/2011 14:00,14.95,12444
552013,22382,LUNCH BAG SPACEBOY DESIGN ,30,05/05/2011 17:34,1.65,12451
579259,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,29/11/2011 08:40,0.42,12451
561898,23020,GLASS  SONGBIRD STORAGE JAR,4,31/07/2011 15:25,12.5,12456
559372,22730,ALARM CLOCK BAKELIKE IVORY,4,08/07/2011 10:23,3.75,12461
553415,23281,FOLDING BUTTERFLY MIRROR RED  ,12,17/05/2011 10:02,0.83,12463
540480,21871,SAVE THE PLANET MUG,12,07/01/2011 15:27,1.25,12480
544200,20725,LUNCH BAG RED RETROSPOT,10,17/02/2011 10:08,1.65,12494
540458,22138,BAKING SET 9 PIECE RETROSPOT ,3,07/01/2011 12:28,4.95,12501
563914,22551,PLASTERS IN TIN SPACEBOY,12,21/08/2011 13:18,1.65,12518
572925,23231,WRAP  VINTAGE DOILY ,25,27/10/2011 09:18,0.42,12523
542303,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,27/01/2011 11:05,4.95,12539
