InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,,,,
565849,23013,GLASS APOTHECARY BOTTLE TONIC,12,07/09/2011 12:50,3.45,14309,,,,
565462,23120,PACK OF 6 SMALL FRUIT STRAWS,24,05/09/2011 09:38,0.42,16551,,,,
565419,21136,PAINTED METAL PEARS ASSORTED,8,04/09/2011 12:07,1.69,13808,,,,
565416,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,04/09/2011 12:00,0.29,12710,,,,
565405,23286,BLUE VINTAGE SPOT BEAKER,8,04/09/2011 10:51,0.85,14211,,,,
565383,22457,NATURAL SLATE HEART CHALKBOARD ,1,02/09/2011 15:45,5.79,14096,,,,
565129,21975,PACK OF 60 DINOSAUR CAKE CASES,2,01/09/2011 12:41,0.55,15719,,,,
564868,20719,WOODLAND CHARLOTTE BAG,10,31/08/2011 10:42,0.85,16842,,,,
564747,84946,ANTIQUE SILVER T-LIGHT GLASS,6,28/08/2011 16:09,1.25,14869,,,,
564739,23251,VINTAGE RED ENAMEL TRIM MUG ,3,28/08/2011 14:28,1.25,16931,,,,
564256,15056BL,EDWARDIAN PARASOL BLACK,6,24/08/2011 10:45,5.95,14796,,,,
564034,71459,HANGING JAM JAR T-LIGHT HOLDER,12,22/08/2011 12:22,0.85,12935,,,,
563538,22384,LUNCH BAG PINK POLKADOT,3,17/08/2011 11:48,1.65,17841,,,,
562878,22251,BIRDHOUSE DECORATION MAGIC GARDEN,1,10/08/2011 10:45,1.25,16241,,,,
562608,22846,BREAD BIN DINER STYLE RED ,1,08/08/2011 11:45,16.95,15502,,,,
562454,22418,10 COLOUR SPACEBOY PEN,24,05/08/2011 10:31,0.85,15128,,,,
562166,21209,MULTICOLOUR HONEYCOMB FAN,12,03/08/2011 12:10,0.39,13209,,,,
562031,21871,SAVE THE PLANET MUG,3,01/08/2011 17:37,1.25,16984,,,,
561203,21642,ASSORTED TUTTI FRUTTI PEN,24,25/07/2011 15:17,0.29,14232,,,,
561066,22704,WRAP RED APPLES ,25,24/07/2011 14:21,0.42,16710,,,,
560499,22919,HERB MARKER MINT,12,19/07/2011 11:03,0.65,16713,,,,
560453,22024,RAINY LADIES BIRTHDAY CARD,24,19/07/2011 09:52,0.42,13209,,,,
560385,22439,6 ROCKET BALLOONS ,1,18/07/2011 12:53,0.65,14583,,,,
